trial_id,title,intervention_name,condition,phase,status,source_database
NCT04978649,Intervention for High-normal Blood Pressure in Adults With Type 2 Diabetes-----renal Substudy,Allisartan Isoproxil; Amlodipine,"Diabetes Mellitus, Type 2; Blood Pressure",PHASE4,WITHDRAWN,ClinicalTrials.gov
NCT02632838,Improve Hypertension Monitoring and Self-management by Using mHealth,"iHealth BP7-Wireless Blood Pressure Wrist Monitor,",Hypertension,NA,COMPLETED,ClinicalTrials.gov
NCT06271967,FOCALFLEX (CE Mark) Study,TactiFlex™ Ablation Catheter Sensor Enabled™,Atrial Fibrillation Paroxysmal,NA,COMPLETED,ClinicalTrials.gov
NCT00787800,The Use of Dual Chamber ICD With Special Programmed Features to Lower the Risk of Inappropriate Shock,Dual Chamber ICD; Single Chamber ICD,Ventricular Tachycardia; Ventricular Fibrillation; Atrial Fibrillation; Supraventricular Tachycardia,PHASE4,COMPLETED,ClinicalTrials.gov
NCT04023565,Moxonidine + Perindopril in Hypertensive Patients With Metabolic Syndrome,perindopril + moxonidine,Arterial Hypertension; Metabolic Syndrome,PHASE4,UNKNOWN,ClinicalTrials.gov
NCT01684267,Pelvic Obliquity Rehabilitation in Stroke Patients Using Robotically Generated Force Fields,Robotic Gait Rehabilitation (RGR) Trainer,Gait Re-training in Healthy Subjects; Gait Re-training in Stroke Survivors,NA,TERMINATED,ClinicalTrials.gov
NCT03327467,Expanded Access Protocol: Umbilical Cord Blood Infusions for Children With Brain Injuries,Cord Blood Infusion,"Cerebral Palsy; Hydrocephalus; Apraxia of Speech; Hypoxia Ischemia, Cerebral; Drowning; Anoxia",Not specified,AVAILABLE,ClinicalTrials.gov
NCT04657900,Predicting Patient-level New Onset Atrial Fibrillation,Observational,Atrial Fibrillation,Not specified,COMPLETED,ClinicalTrials.gov
NCT01984905,Study of Prognostic Factors in Aortic Dissection Type B,Not specified,Type B Aortic Dissection,Not specified,TERMINATED,ClinicalTrials.gov
NCT00470405,Pemetrexed and Oxaliplatin in Treating Patients With Metastatic Solid Tumors or Lymphoma,oxaliplatin; pemetrexed disodium,Lymphoma; Solid Tumor,PHASE1,COMPLETED,ClinicalTrials.gov
