label_id,name,drug,gene,source,biomarker_status,testing,alternate_drug_available,source_database
PA166177521,Annotation of FDA Label for umeclidinium and CYP2D6,umeclidinium,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166178750,Annotation of FDA Label for metoclopramide and CYP2D6,metoclopramide,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166179848,Annotation of FDA Label for lofexidine and CYP2D6,lofexidine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166180000,Annotation of FDA Label for meclizine and CYP2D6,meclizine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166181925,Annotation of FDA Label for tamoxifen and CYP2D6,tamoxifen,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166182729,Annotation of FDA Label for amoxapine and CYP2D6,amoxapine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166182730,Annotation of FDA Label for amphetamine and CYP2D6,amphetamine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166160052,Annotation of FDA Label for palonosetron and CYP2D6,palonosetron,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166160054,Annotation of FDA Label for brexpiprazole and CYP2D6,brexpiprazole,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166160226,Annotation of PMDA Label for codeine and CYP2D6,codeine,CYP2D6,PMDA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166160672,Annotation of FDA Label for tamsulosin and CYP2D6,tamsulosin,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166160709,Annotation of PMDA Label for eliglustat and CYP2D6,eliglustat,CYP2D6,PMDA,,"{'id': 1183672041, 'description': 'The label states or implies that some sort of gene, protein or chromosomal testing, including genetic testing, functional protein assays, cytogenetic studies, etc., should be conducted before using this drug. This requirement may only be for a particular subset of patients. PharmGKB considers labels that state the variant is an indication for the drug, as implying a test requirement. If the label states a test ""should be"" performed, this is also interpreted as a requirement.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Testing Required', 'termId': 'geneTestLevel:1183672041', 'valid': True, 'version': 3}",False,ClinPGx
PA166160712,Annotation of PMDA Label for fesoterodine and CYP2D6,fesoterodine,CYP2D6,PMDA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166160845,Annotation of PMDA Label for perphenazine and CYP2D6,perphenazine,CYP2D6,PMDA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166160850,Annotation of PMDA Label for tetrabenazine and CYP2D6,tetrabenazine,CYP2D6,PMDA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166161219,Annotation of FDA Label for aripiprazole lauroxil and CYP2D6,aripiprazole lauroxil,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",True,ClinPGx
PA166169882,Annotation of FDA Label for deutetrabenazine and CYP2D6,deutetrabenazine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166182930,Annotation of EMA Label for brexpiprazole and CYP2D6,brexpiprazole,CYP2D6,EMA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166182944,Annotation of EMA Label for duloxetine and CYP2D6,duloxetine,CYP2D6,EMA,,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166182950,Annotation of EMA Label for gefitinib and CYP2D6,gefitinib,CYP2D6,EMA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166183219,Annotation of EMA Label for mirabegron and CYP2D6,mirabegron,CYP2D6,EMA,,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166183248,Annotation of EMA Label for palonosetron and CYP2D6,palonosetron,CYP2D6,EMA,,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166183424,"Annotation of EMA Label for rucaparib and CYP1A2, CYP2D6",rucaparib,CYP1A2; CYP2D6,EMA,,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166183441,Annotation of EMA Label for umeclidinium and CYP2D6,umeclidinium,CYP2D6,EMA,,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
